job_title,company_name,required_skills,salary_range,location,experience_required,date_posted,job_url,salary_low,salary_high,salary_low_lpa,salary_high_lpa,salary_clean,min_experience,skills_count
Data Analytics,Analytics Vidhya,"Hive, Python, Sas, Machine Learning, Pig, Mapreduce, Splunk, Hadoop, Big Data",INR 360000 - 680000,Hyderabad,1 - 2 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/data-analytics-analytics-vidhya-hyderabadsecunderabad-1-2-years-jobid-ODkwJwU1GzJzpSvf+uAgZw==&source=srp,360000,680000,3.6,6.8,3.6 - 6.8 LPA,1,9
Lead - Data Analytics,Freshworks Technologies,"Data Warehousing & Analytics, SQL Expertise, Programming & Automation, Cloud Platforms, Data Governance",Not disclosed,Chennai,7 - 9 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/lead-data-analytics-freshworks-technologies-chennai-7-9-years-jobid-ISo8DtL7IJBzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,7,5
Bess Data Analytics,Volvo,"Data Analysis Techniques, Machine Learning Algorithms, Python Programming, Statistical Modeling, Cloud Platform Familiarity",Not disclosed,Bengaluru,4 - 6 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/bess-data-analytics-volvo-bengaluru-4-6-years-jobid-+E5fN2ca6ztzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,4,5
"Consultant, Data Analytics",Analytics Vidhya,"Data Analytics, Sas, Business Requirements, Sql, Tableau, Consultant, Business Process, Predictive Analysis",INR 360000 - 680000,Bengaluru,3 - 6 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/consultant-data-analytics-analytics-vidhya-bengaluru-3-6-years-jobid-gTkfI1ob67hzpSvf+uAgZw==&source=srp,360000,680000,3.6,6.8,3.6 - 6.8 LPA,3,8
Data Analytics (Manager),Analytics Vidhya,"Problem Solving, Sql, Data Analytics",INR 360000 - 680000,Delhi,5 - 8 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/data-analytics-manager-analytics-vidhya-delhi-delhincr-5-8-years-jobid-y5+LdJ7zwpdzpSvf+uAgZw==&source=srp,360000,680000,3.6,6.8,3.6 - 6.8 LPA,5,3
Assistant Manager (Data Analytics),Analytics Vidhya,"Data Analytics, Data Analysis, Business Analysis, Dashboards, Sql, Data Extraction, Database",INR 360000 - 680000,Kolkata,3 - 7 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/assistant-manager-data-analytics-analytics-vidhya-kolkata-3-7-years-jobid-TBoT9MYy+ENzpSvf+uAgZw==&source=srp,360000,680000,3.6,6.8,3.6 - 6.8 LPA,3,7
Head (Data Analytics/ Modelling),Analytics Vidhya,"Advanced Analytics, Visualization, Data Analytics, Sas, Consulting, Data Mining, Predictive Modeling, Statistical Analysis",INR 360000 - 680000,Gurugram,8 - 12 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/head-data-analytics-modelling-analytics-vidhya-gurugram-8-12-years-jobid-0AfBxzfc1P5zpSvf+uAgZw==&source=srp,360000,680000,3.6,6.8,3.6 - 6.8 LPA,8,8
Intern- Data Analytics,Analytics Vidhya,"Advanced Analytics, Data Analytics, Sql, Tableau",INR 360000 - 680000,Gurugram,0 - 3 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/intern-data-analytics-analytics-vidhya-gurugram-0-3-years-jobid-kEH+5Gzxw+VzpSvf+uAgZw==&source=srp,360000,680000,3.6,6.8,3.6 - 6.8 LPA,0,4
"Technical Solutions Engineer, Data Analytics",Google,"Troubleshooting Technical Issues, Coding In Python, Data Analytics Support, Customer Advocacy, Distributed Data Processing",Not disclosed,Bengaluru,3 - 6 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/technical-solutions-engineer-data-analytics-google-bengaluru-3-6-years-jobid-GnI5lz+PUBpzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,3,5
"Technical Solutions Engineer, Data Analytics",Google,"Troubleshooting Technical Issues, Software Development Expertise, Data Analytics Experience, Coding In Java/C/Python, Customer Advocacy Skills",Not disclosed,Bengaluru,3 - 6 Yrs,2026-03-11,https://www.timesjobs.com/job-detail/technical-solutions-engineer-data-analytics-google-bengaluru-3-6-years-jobid-YgIWcmWROrJzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,3,5
"Technical Solutions Engineer, Data Analytics",Google,"Troubleshooting Technical Issues, Software Development Expertise, Data Analytics Knowledge, Code Debugging Ability, Customer Advocacy Skills",Not disclosed,Bengaluru,3 - 6 Yrs,2026-03-11,https://www.timesjobs.com/job-detail/technical-solutions-engineer-data-analytics-google-bengaluru-3-6-years-jobid-mks+j__SLASH__OPWStzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,3,5
Data Analytics Manager - Payments & Accounting,Rippling,"Analytics Engineering, Team Leadership, SQL Proficiency, Financial Reporting, Data Visualization",Not disclosed,San Francisco,8 - 10 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/data-analytics-manager-payments-accounting-rippling-san-francisco-bengaluru-8-10-years-jobid-izGXMcSyuxlzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,8,5
"Technical Solutions Engineer, Data Analytics",Google,"Data Analytics, System Administration, Debugging Codes, Networking Fundamentals, Excellent Communication",Not disclosed,Pune,2 - 5 Yrs,2026-03-11,https://www.timesjobs.com/job-detail/technical-solutions-engineer-data-analytics-google-pune-bengaluru-2-5-years-jobid-9jQH0kGGgCBzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,2,5
"Customer Engineer Platform, Data Analytics",Google,"Data Analytics Expertise, Cloud Computing Knowledge, Technical Consultation Skills, Stakeholder Engagement, Architectural Design Experience",Not disclosed,Australia,1 - 4 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/customer-engineer-platform-data-analytics-google-australia-1-4-years-jobid-__SLASH__W+yS2o3LSpzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,1,5
Senior Manager - Data Analytics & Ba,Sun Pharma,"Data Analytics Expertise, Power BI Proficiency, Tableau Experience, SAP Knowledge, Strong Communication Skills",Not disclosed,India,1 - 4 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/-senior-manager-data-analytics-ba-sun-pharma-india-1-4-years-jobid-dONEkbY3whlzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,1,5
